index;leaf;proof
0;0x290decd9548b62a8d60345a988386fc84ba6bc95484008f6362f93160ef3e563;0x036b6384b5eca791c62761152d0c79bb0604c104a5fb6f4eb0703f3154bb3db00x4b73f99ed6e6670bca14ccb20bd0847431f1e31d07779d65ae63d8704e2c8f830x7f7819f69ce525f1b994f0ef767c1d1db1d370e6f56a74ebacf120298f0462900x599b5b3e642afe03df05b36f7fdb145cc4ae8958fec6884cafe44f9e32e41f28
1;0xb10e2d527612073b26eecdfd717e6a320cf44b4afac2b0732d9fcbe2b7fa0cf6;0xc2575a0e9e593c00f959f8c92f12db2869c3395a3b0502d05e2516446f71f85b0xc6ac427fb8aaa2487d27a03718825d2ab79856b97c34a6ee73de2ebe3178be0a0x7c38699e734025992b773d48ab4f2ab731d02dd3ea60fdbb9fd3bd722f1a01df0x599b5b3e642afe03df05b36f7fdb145cc4ae8958fec6884cafe44f9e32e41f28
2;0x405787fa12a823e0f2b7631cc41b3ba8828b3321ca811111fa75cd3aa3bb5ace;0x6e1540171b6c0c960b71a7020d9f60077f6af931a8bbf590da0223dacf75c7af0x3196704a2b58fda17a75cb346654cda44776ee73f6ab009e295270a7f557ae1a0x7f7819f69ce525f1b994f0ef767c1d1db1d370e6f56a74ebacf120298f0462900x599b5b3e642afe03df05b36f7fdb145cc4ae8958fec6884cafe44f9e32e41f28
3;0xc2575a0e9e593c00f959f8c92f12db2869c3395a3b0502d05e2516446f71f85b;0xb10e2d527612073b26eecdfd717e6a320cf44b4afac2b0732d9fcbe2b7fa0cf60xc6ac427fb8aaa2487d27a03718825d2ab79856b97c34a6ee73de2ebe3178be0a0x7c38699e734025992b773d48ab4f2ab731d02dd3ea60fdbb9fd3bd722f1a01df0x599b5b3e642afe03df05b36f7fdb145cc4ae8958fec6884cafe44f9e32e41f28
4;0x8a35acfbc15ff81a39ae7d344fd709f28e8600b4aa8c65c6b64bfe7fe36bd19b;0xa66cc928b5edb82af9bd49922954155ab7b0942694bea4ce44661d9a8736c6880xa8d08734ea7322e06e0a776297d6f37272e6f5a616160a77c77841e0759bf0ca0x7c38699e734025992b773d48ab4f2ab731d02dd3ea60fdbb9fd3bd722f1a01df0x599b5b3e642afe03df05b36f7fdb145cc4ae8958fec6884cafe44f9e32e41f28
5;0x036b6384b5eca791c62761152d0c79bb0604c104a5fb6f4eb0703f3154bb3db0;0x290decd9548b62a8d60345a988386fc84ba6bc95484008f6362f93160ef3e5630x4b73f99ed6e6670bca14ccb20bd0847431f1e31d07779d65ae63d8704e2c8f830x7f7819f69ce525f1b994f0ef767c1d1db1d370e6f56a74ebacf120298f0462900x599b5b3e642afe03df05b36f7fdb145cc4ae8958fec6884cafe44f9e32e41f28
6;0xf652222313e28459528d920b65115c16c04f3efc82aaedc97be59f3f377c0d3f;0xf3f7a9fe364faab93b216da50a3214154f22a0a2b415b23a84c8169e8b636ee30xf7d53e9113effbd163e93d1551923c280edec3d473135737ea978365d41bc83a
7;0xa66cc928b5edb82af9bd49922954155ab7b0942694bea4ce44661d9a8736c688;0x8a35acfbc15ff81a39ae7d344fd709f28e8600b4aa8c65c6b64bfe7fe36bd19b0xa8d08734ea7322e06e0a776297d6f37272e6f5a616160a77c77841e0759bf0ca0x7c38699e734025992b773d48ab4f2ab731d02dd3ea60fdbb9fd3bd722f1a01df0x599b5b3e642afe03df05b36f7fdb145cc4ae8958fec6884cafe44f9e32e41f28
8;0xf3f7a9fe364faab93b216da50a3214154f22a0a2b415b23a84c8169e8b636ee3;0xf652222313e28459528d920b65115c16c04f3efc82aaedc97be59f3f377c0d3f0xf7d53e9113effbd163e93d1551923c280edec3d473135737ea978365d41bc83a
9;0x6e1540171b6c0c960b71a7020d9f60077f6af931a8bbf590da0223dacf75c7af;0x405787fa12a823e0f2b7631cc41b3ba8828b3321ca811111fa75cd3aa3bb5ace0x3196704a2b58fda17a75cb346654cda44776ee73f6ab009e295270a7f557ae1a0x7f7819f69ce525f1b994f0ef767c1d1db1d370e6f56a74ebacf120298f0462900x599b5b3e642afe03df05b36f7fdb145cc4ae8958fec6884cafe44f9e32e41f28